"name","summary","imgLink"
"Betelgeuse","Betelgeuse, also designated α Orionis (Latinised to Alpha Orionis, abbreviated Alpha Ori, α Ori), is on average the ninth-brightest star in the night sky and second-brightest in the constellation of Orion. It is distinctly reddish, and is a semiregular variable star whose apparent magnitude varies between 0.0 and 1.3, the widest range of any first-magnitude star. Betelgeuse is one of three stars that make up the Winter Triangle asterism, and it marks the center of the Winter Hexagon. If the human eye could view all wavelengths of radiation, Betelgeuse would be the brightest star in the night sky.
Classified as a red supergiant of spectral type M1-2, the star is one of the largest stars visible to the naked eye. If Betelgeuse were at the center of the Solar System, its surface would extend past the asteroid belt, completely engulfing the orbits of Mercury, Venus, Earth, Mars, and possibly Jupiter. However, there are several other red supergiants in the Milky Way that could be larger, such as Mu Cephei and VY Canis Majoris. Calculations of its mass range from slightly under ten to a little over twenty times that of the Sun. It is calculated to be 640 light-years away, yielding an absolute magnitude of about −6. Less than 10 million years old, Betelgeuse has evolved rapidly because of its high mass. Having been ejected from its birthplace in the Orion OB1 Association—which includes the stars in Orion's Belt—this runaway star has been observed moving through the interstellar medium at a speed of 30 km/s, creating a bow shock over four light-years wide. Currently in a late stage of stellar evolution, the supergiant is expected to explode as a supernova within the next million years.
In 1920, Betelgeuse became the first extrasolar star to have the angular size of its photosphere measured. Subsequent studies have reported an angular diameter (apparent size) ranging from 0.042 to 0.056 arcseconds, with the differences ascribed to the non-sphericity, limb darkening, pulsations, and varying appearance at different wavelengths. It is also surrounded by a complex, asymmetric envelope roughly 250 times the size of the star, caused by mass loss from the star itself. The angular diameter of Betelgeuse is only exceeded by R Doradus and the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Orion_constellation_map.svg/970px-Orion_constellation_map.svg.png"
"Beta Aurigae","Beta Aurigae (β Aurigae, abbreviated Beta Aur, β Aur), also named Menkalinan, is a binary star system in the northern constellation of Auriga. The combined apparent visual magnitude of the system is 1.9, making it the second-brightest member of the constellation after Capella. Using the parallax measurements made during the Hipparcos mission, the distance to this star system can be estimated as 81.1 light-years (24.9 parsecs), give or take a half-light-year margin of error.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Auriga_constellation_map.svg/1000px-Auriga_constellation_map.svg.png"
"Red Rectangle Nebula","The Red Rectangle Nebula, so called because of its red color and unique rectangular shape, is a protoplanetary nebula in the Monoceros constellation.  Also known as HD 44179, the nebula was discovered in 1973 during a rocket flight associated with the AFCRL Infrared Sky Survey called Hi Star.  The binary system at the center of the nebula was first discovered by Robert Grant Aitken in 1915.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Redrectangle_hst_full.jpg/1000px-Redrectangle_hst_full.jpg"
"Beta Canis Majoris","Beta Canis Majoris (β Canis Majoris, abbreviated Beta CMa, β CMa), also named Mirzam, is a star in the southern constellation of Canis Major, the ""Great Dog"", located at a distance of about 500 light-years (150 parsecs) from the Sun. In the modern constellation it lies at the position of the dog's front leg.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Canis_Major_constellation_map.svg/1000px-Canis_Major_constellation_map.svg.png"
"Canopus","Canopus (), also designated α Carinae (Latinised to Alpha Carinae, abbreviated Alpha Car, α Car), is the brightest star in the southern constellation of Carina, and the second-brightest star in the night sky, after Sirius. Canopus' visual magnitude is −0.74, and it has an absolute magnitude of −5.71.
Canopus is a bright giant of spectral type A9, so it is essentially white when seen with the naked eye. It is located in the far southern sky, at a year 2000 declination of −52° 42′ and a right ascension of 06h 24.0m.
Its name is generally considered to originate from the mythological Canopus, who was a navigator for Menelaus, king of Sparta (see below).","https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Canopus.jpg/1000px-Canopus.jpg"
"Gamma Geminorum","Gamma Geminorum (γ Geminorum, abbreviated Gamma Gem, γ Gem), also named Alhena, is the third-brightest star in the constellation of Gemini. It has an apparent visual magnitude of 1.9, making it easily visible to the naked eye even in urban regions. Based upon parallax measurements with the Hipparcos satellite, it is located at a distance of roughly 109 light-years (33 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Gemini_constellation_map.svg/1000px-Gemini_constellation_map.svg.png"
"Sirius","Sirius (, a latinisation of Greek Σείριος, Seirios, lit. ""glowing"" or ""scorching"") is a binary star and the brightest star in the night sky. With a visual apparent magnitude of −1.46, it is almost twice as bright as Canopus, the next brightest star. The system has the Bayer designation α (Alpha) Canis Majoris. The binary system consists of a main-sequence star of spectral type A0 or A1, termed Sirius A, and a faint white dwarf companion of spectral type DA2, designated Sirius B. The distance between the two varies between 8.2 and 31.5 astronomical units as they orbit every 50 years.Sirius appears bright because of its intrinsic luminosity and its proximity to Earth. At a distance of 2.6 parsecs (8.6 ly), as determined by the Hipparcos astrometry satellite, the Sirius system is one of Earth's near neighbours. Sirius is gradually moving closer to the Solar System, so it will slightly increase in brightness over the next 60,000 years. After that time its distance will begin to increase and it will become fainter, but it will continue to be the brightest star in the Earth's night sky for the next 210,000 years.Sirius A is about twice as massive as the Sun (M☉) and has an absolute visual magnitude of +1.42. It is 25 times more luminous than the Sun but has a significantly lower luminosity than other bright stars such as Canopus or Rigel. The system is between 200 and 300 million years old. It was originally composed of two bright bluish stars. The more massive of these, Sirius B, consumed its resources and became a red giant before shedding its outer layers and collapsing into its current state as a white dwarf around 120 million years ago.Sirius is also known colloquially as the ""Dog Star"", reflecting its prominence in its constellation, Canis Major (Greater Dog). The heliacal rising of Sirius marked the flooding of the Nile in Ancient Egypt and the ""dog days"" of summer for the ancient Greeks, while to the Polynesians in the Southern Hemisphere the star marked winter and was an important reference for their navigation around the Pacific Ocean.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Canis_Major_constellation_map.svg/1000px-Canis_Major_constellation_map.svg.png"
"Epsilon Canis Majoris","Epsilon Canis Majoris (ε Canis Majoris, abbreviated Epsilon CMa, ε CMa) is a binary star and, despite being designated 'epsilon', the second-brightest star in the constellation of Canis Major and one of the brightest stars in the night sky with an apparent magnitude of 1.50. About 4.7 million years ago, it was the brightest star in the sky, with an apparent magnitude of −3.99. Based upon parallax measurements obtained during the Hipparcos mission, it is about 430 light-years distant from the Sun.The two components are themselves designated Epsilon Canis Majoris A (also named Adhara) and B.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Canis_Major_constellation_map.svg/1000px-Canis_Major_constellation_map.svg.png"
"Delta Canis Majoris","Delta Canis Majoris (δ Canis Majoris, abbreviated Delta CMa, δ CMa), also named Wezen, is a star in the constellation of Canis Major. It is a yellow-white F-type supergiant with an apparent magnitude of +1.83. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Canis_Major_constellation_map.svg/1000px-Canis_Major_constellation_map.svg.png"
"Eta Canis Majoris","Eta Canis Majoris (η Canis Majoris, abbreviated Eta CMa, η CMa), also named Aludra, is a star in the constellation of Canis Major. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Canis_Major_constellation_map.svg/1000px-Canis_Major_constellation_map.svg.png"
"Beta Canis Minoris","Beta Canis Minoris (β Canis Minoris, abbreviated Beta CMi, β CMi), also named Gomeisa, is a star in the constellation of Canis Minor. In the night sky it is notable for its proximity to the prominent star Procyon.","https://upload.wikimedia.org/wikipedia/commons/9/94/Position_Beta_Cmi.png"
"Luyten's Star","Luyten's Star (GJ 273) is a red dwarf in the constellation Canis Minor located at a distance of approximately 12.36 light-years (3.79 parsecs) from the Sun. It has a visual magnitude of 9.9, making it too faint to be viewed with the unaided eye. It is named after Willem Jacob Luyten, who, in collaboration with Edwin G. Ebbighausen, first determined its high proper motion in 1935.This star is approximately a quarter the mass of the Sun and has 35% of the Sun's radius. Luyten's Star is at the maximum mass at which a red dwarf can be fully convective, which means that most if not all of the star forms an extended convection zone. It has a stellar classification of M3.5V, with the V luminosity class indicating this is a main-sequence star that is generating energy through the thermonuclear fusion of hydrogen at its core. The projected rotation rate of this star is too low to be measured, but is no greater than 1 km/s. Measurements of periodic variation in surface activity suggest a leisurely rotation period of roughly 116 days (which would give a velocity of ~0.15 km/s). The effective temperature of the star's outer envelope is a relatively cool 3,150 K, giving the star the characteristic red-orange hue of an M-type star.At present, Luyten's Star is moving away from the Solar System. The closest approach occurred about 13,000 years ago when it came within 3.67 parsecs. The star is currently located 1.2 light years distant from Procyon, and the latter would appear as a visual magnitude −4.5 star in the night sky of one of the planets orbiting Luyten's Star. The closest encounter between the two stars occurred about 600 years ago when Luyten's Star was at its minimal distance of about 1.12 ly from Procyon. The space velocity components of Luyten's Star are U = +16, V = −66 and W = −17 km/s.",""
"Castor (star)","Castor, also designated α Geminorum (Latinised to Alpha Geminorum, abbreviated Alpha Gem, α Gem) is the second-brightest object in the constellation of Gemini and one of the brightest in the night sky. It appears singular to the naked eye, but it is actually a sextuple star system in three binary pairs made up of the stars Castor Aa, Castor Ab, Castor Ba, Castor Bb, Castor Ca, and Castor Cb. Although it has the Bayer designation alpha, it is fainter than Beta Geminorum, Pollux.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Gemini_constellation_map.svg/1000px-Gemini_constellation_map.svg.png"
"Procyon","Procyon (UK:  PROH-see-on), also designated α Canis Minoris (Latinised to Alpha Canis Minoris, abbreviated Alpha CMi, α CMi), is the brightest object in the constellation of Canis Minor and usually the eighth-brightest star in the night sky with a visual apparent magnitude of 0.34. It is a binary star system, consisting of a white main-sequence star of spectral type F5 IV–V, named Procyon A, and a faint white dwarf companion of spectral type DQZ, named Procyon B.
As determined by the European Space Agency Hipparcos astrometry satellite, it lies at a distance of just 11.46 light-years (3.51 parsecs), and is therefore one of Earth's nearest stellar neighbours.","https://upload.wikimedia.org/wikipedia/commons/b/b4/Position_Alpha_Cmi.png"
"Pollux (star)","Pollux, also designated β Geminorum (Latinised to Beta Geminorum, abbreviated Beta Gem, β Gem), is an orange-hued evolved giant star approximately 34 light-years from the Sun in the northern constellation of Gemini. It is the brightest star in Gemini and the closest giant star to the Sun.
Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified. In 2006, an extrasolar planet (designated Pollux b or β Geminorum b, later named Thestias) was confirmed to be orbiting it.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Gemini_constellation_map.svg/1000px-Gemini_constellation_map.svg.png"
"Zeta Puppis","Zeta Puppis (ζ Puppis, abbreviated Zeta Pup, ζ Pup), also named Naos, is a star in the constellation of Puppis.
The spectral class of O4 means this is one of the hottest, and most luminous, stars visible to the naked eye. It is one of the sky's few naked-eye class O-type stars as well as one of the closest to Earth. It is a blue supergiant, one of the most luminous stars in the Milky Way. Visually it is over 10,000 times brighter than the Sun, but its high temperature means that most of its radiation is in the ultraviolet and its bolometric luminosity is over 500,000 times that of the Sun. It is also the 62nd brightest star in terms of apparent magnitude from Earth.
Naos is typical of O-type stars in having an extremely strong stellar wind, measured at 2,500 km/s, which sees the star shed more than a millionth of its mass each year, or about 10 million times that shed by the Sun over a comparable time period.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Puppis_constellation_map.svg/751px-Puppis_constellation_map.svg.png"
"Epsilon Carinae","Epsilon Carinae (ε Carinae, abbreviated Epsilon Car, ε Car), also named Avior, is a binary star in the southern constellation of Carina. At apparent magnitude +1.86 it is one of the brightest stars in the night sky, but is not visible from the northern hemisphere. The False Cross is an asterism formed of Delta Velorum, Kappa Velorum, Iota Carinae and ε Carinae. It is so called because it is sometimes mistaken for the Southern Cross, causing errors in astronavigation.

Epsilon Carinae is located roughly 560–660 light-years (170–200 parsecs) from the Sun. Measurements during the Hipparcos mission give the pair an angular separation of 0.46 arcseconds with a difference in magnitude of 2.0. At their estimated distance, this angle is equivalent to a physical separation of around 4 astronomical units. This pair may form an eclipsing binary system with a period of 785 days (2.15 years), resulting in a magnitude change of 0.12 during each eclipse.The primary component has an apparent visual magnitude of 2.2, which by itself would still make it the third-brightest star in the constellation. It is an evolved giant star with a stellar classification of K0 III. However, examination of the ultraviolet flux from this star suggests it may instead be of spectral type K7. The fainter secondary companion has an apparent visual magnitude of 4.1, which, if it were a solitary star, would be bright enough to be seen with the naked eye. This is a hot, core hydrogen-fusing B-type main sequence star of spectral class B2 Vp. The secondary may itself have an orbiting stellar companion of spectral class F8.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Carina_constellation_map.svg/1000px-Carina_constellation_map.svg.png"
"Beta Carinae","Beta Carinae (β Carinae, abbreviated Beta Car, β Car), also named Miaplacidus, is the second brightest star in the constellation of Carina and one of the brightest stars in the night sky, with apparent magnitude 1.68. It is the brightest star in the south polar asterism known as the Diamond Cross, marking the southwestern end of the asterism. It lies near the planetary nebula IC 2448. Parallax measurements place it at a distance of 113.2 light-years (34.7 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Carina_constellation_map.svg/1000px-Carina_constellation_map.svg.png"
"Tureis","Tureis is a traditional Arabic name for two different stars:

Iota Carinae
Rho PuppisThe name Tureis or Turais was derived from the Arabic title al-turais, which means ""The Possession"".",""
"Alphard","Alphard, also designated Alpha Hydrae (α Hydrae, abbreviated Alpha Hya, α Hya) is the brightest star in the constellation of Hydra.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Hydra_constellation_map.svg/1000px-Hydra_constellation_map.svg.png"
"Epsilon Leonis","Epsilon Leonis (ε Leo, ε Leonis) is the fifth-brightest star in the constellation Leo, consistent with its Bayer designation Epsilon.  The star has the traditional names Ras Elased (Australis), Asad Australis and Algenubi, all of which derive from the Arabic رأس الأسد الجنوبي rās al-’asad al-janūbī, which means ""the southern (star) of the lion's head""; australis is Latin for ""southern"".","https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Leo_IAU.svg/813px-Leo_IAU.svg.png"
"Regulus","Regulus, also designated Alpha Leonis (α Leonis, abbreviated Alpha Leo, α Leo), is the brightest star in the constellation of Leo and one of the brightest stars in the night sky, lying approximately 79 light years from the Sun. Regulus is a multiple star system composed of four stars that are organized into two pairs. The spectroscopic binary Regulus A consists of a blue-white main-sequence star and its companion, which has not yet been directly observed, but is probably a white dwarf. Located farther away are Regulus B, C, and D, which are dim main-sequence stars.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Leo_constellation_map.svg/1000px-Leo_constellation_map.svg.png"
"Gamma Leonis","Gamma Leonis (γ Leonis, abbreviated Gamma Leo, γ Leo), also named Algieba, is a binary star system in the constellation of Leo. In 2009, a planetary companion around the primary was announced.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Leo_constellation_map.svg/1000px-Leo_constellation_map.svg.png"
"Beta Ursae Majoris","Beta Ursae Majoris (β Ursae Majoris, abbreviated Beta UMa, β UMa), also named Merak, is a star in the northern circumpolar constellation of Ursa Major.
The apparent visual magnitude of this star is +2.37, which means it is readily visible to the naked eye. It is more familiar to northern hemisphere observers as one of the ""pointer stars"" in the Big Dipper or the Plough (UK), which is a prominent asterism of seven stars that forms part of the larger constellation. Extending an imaginary straight line from this star through the nearby Alpha Ursae Majoris (Dubhe) extends to Polaris, the north star.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Ursa_Major_IAU.svg/1000px-Ursa_Major_IAU.svg.png"
"Lalande 21185","Lalande 21185 is a star in the constellation of Ursa Major, relevant for being the brightest red dwarf observable in the northern hemisphere (only AX Microscopii and Lacaille 9352, in the southern hemisphere, are brighter). Despite this, and although relatively close by, it is (as all red dwarves) very dim, being only magnitude 7.5 in visible light and thus too dim to be seen with the unaided eye. The star is visible through a small telescope or binoculars.At approximately 8.31 light-years (2.55 parsecs) away it is one of the nearest stars to the Solar System; only the Alpha Centauri system, Barnard's Star, and Wolf 359 and the brown dwarfs Luhman 16 and WISE 0855−0714 are known to be closer. Because of its proximity it is a frequent subject for astronomical surveys and other research and thus is known by numerous other designations. Research papers most commonly use the designations BD+36 2147, Gliese 411, and HD 95735 to refer to this star. In approximately 19,900 years Lalande 21185 will be at its closest distance of about 4.65 ly (1.43 pc) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Ursa_Major_IAU.svg/1000px-Ursa_Major_IAU.svg.png"
"Alpha Ursae Majoris","Alpha Ursae Majoris (α Ursae Majoris, abbreviated Alpha UMa, α UMa), also named Dubhe, is (despite being designated 'alpha') the second-brightest star in the constellation of Ursa Major.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Ursa_Major_constellation_map.svg/1000px-Ursa_Major_constellation_map.svg.png"
"Delta Leonis","Delta Leonis (δ Leonis, abbreviated Delta Leo, δ Leo), also named Zosma, is a star in the zodiac constellation of Leo. Based upon parallax measurements, it lies at a distance of about 58.4 light-years (17.9 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Leo_constellation_map.svg/1000px-Leo_constellation_map.svg.png"
"Denebola","Denebola, also designated Beta Leonis (β Leonis, abbreviated Beta Leo, β Leo) is the second-brightest star in the zodiac constellation of Leo, although the two components of the γ Leonis double star, which are unresolved to the naked eye, have a combined magnitude brighter than it. Denebola is an A-type main sequence star with 75% more mass than the Sun and 15 times the Sun's luminosity. Based on parallax measurements from the Hipparcos astrometry satellite, the star is at a distance of about 36 light-years (11 parsecs) from the Sun. Its apparent visual magnitude is 2.14, making it readily visible to the naked eye. Denebola is a suspected Delta Scuti type variable star, meaning its luminosity varies very slightly over a period of a few hours.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Leo_constellation_map.svg/1000px-Leo_constellation_map.svg.png"
"Groombridge 1830","Groombridge 1830 (also known as 1830 Groombridge or  Argelander's Star) is a star in the constellation Ursa Major.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Ursa_Major_constellation_map.svg/1000px-Ursa_Major_constellation_map.svg.png"
"Gamma Ursae Majoris","Gamma Ursae Majoris (γ Ursae Majoris, abbreviated Gamma UMa, γ UMa), also named Phecda, is a star in the constellation of Ursa Major. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified. Based upon parallax measurements with the Hipparcos astrometry satellite, it is located at distance of around 83.2 light-years (25.5 parsecs) from the Sun.It is more familiar to most observers in the northern hemisphere as the lower-left star forming the bowl of the Big Dipper, together with Alpha Ursae Majoris (Dubhe, upper-right), Beta Ursae Majoris (Merak, lower-right) and Delta Ursae Majoris (Megrez, upper-left). Along with four other stars in this well-known asterism, Phecda forms a loose association of stars known as the Ursa Major moving group. Like the other stars in the group, it is a main sequence star not unlike the Sun, although somewhat hotter, brighter and larger.
Phecda is located in relatively close physical proximity to the prominent Mizar-Alcor star system. The two are separated by an estimated distance of 8.55 ly (2.62 pc); much closer than the two are from the Sun. The star Beta Ursae Majoris is separated from Gamma Ursae Majoris by 11.0 ly (3.4 pc).","https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Ursa_Major_IAU.svg/1000px-Ursa_Major_IAU.svg.png"
"Delta Ursae Majoris","Delta Ursae Majoris (δ Ursae Majoris, abbreviated Delta UMa, δ UMa), also named Megrez, is a star in the northern circumpolar constellation of Ursa Major. With an apparent magnitude of +3.3, it is the dimmest of the seven stars in the Big Dipper asterism. Parallax measurements yield a distance estimate of 80.5 light-years (24.7 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Ursa_Major_IAU.svg/1000px-Ursa_Major_IAU.svg.png"
"Gamma Corvi","Gamma Corvi (γ Corvi, abbreviated Gamma Crv, γ Crv) is a binary star and the brightest star in the southern constellation of Corvus, having an apparent visual magnitude of 2.59. The system's two components are designated Gamma Corvi A (also named Gienah) and Gamma Corvi B. The distance to this system has been measured directly using the parallax technique, yielding an estimated 154 light-years (47 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Corvus_constellation_map.svg/1000px-Corvus_constellation_map.svg.png"
"Alpha Crucis","Alpha Crucis (Latinised from α Crucis, abbreviated Alpha Cru, α Cru) is a multiple star system 321 light-years from the Sun in the constellation of Crux and part of the asterism known as the Southern Cross. With a combined visual magnitude of 0.76, it is the brightest object in Crux and on average the 13th brightest star in the night sky. It is the southernmost first-magnitude star, 2.3 degrees more southerly than Alpha Centauri.To the naked eye Alpha Crucis appears as a single star, but it is actually a triple star system. Two components are visually distinguishable: α1 Crucis and α2 Crucis; alternatively designated α Crucis A and α Crucis B. Both are B-type stars, and are many times more massive and luminous than the Sun. α1 Crucis is itself a spectroscopic binary with components designated α Crucis Aa (also officially named Acrux) and α Crucis Ab. Its two component stars orbit every 76 days at a separation of about 1 astronomical unit (AU).

","https://upload.wikimedia.org/wikipedia/commons/0/0b/Acrux_kstars.png"
"3C 273","3C 273 is a quasar located in the constellation Virgo. It was the first quasar ever to be identified.
It is the optically brightest quasar in the sky (m ~12.9), and one of the closest with a redshift, z, of 0.158.  A luminosity distance of DL = 749 megaparsecs (2.4 Gly) may be calculated from z.  It is also one of the most luminous quasars known, with an absolute magnitude of −26.7, meaning that if it were only as distant as Pollux (~10 parsecs) it would appear nearly as bright in the sky as the Sun. Since the sun's absolute magnitude is 4.83, it means that the quasar is over 4 trillion times more luminous than the Sun at visible wavelengths.  The mass of its central black hole has been measured to be 886 ± 187 million solar masses through broad emission-line reverberation mapping.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Best_image_of_bright_quasar_3C_273.jpg/1000px-Best_image_of_bright_quasar_3C_273.jpg"
"Delta Corvi","Delta Corvi (δ Corvi, abbreviated Delta Crv, δ Crv), also named Algorab, is a third magnitude star at a distance of 86.9 light-years (26.6 parsecs) from the Sun in the southern constellation of Corvus.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Corvus_constellation_map.svg/1000px-Corvus_constellation_map.svg.png"
"Gamma Crucis","Gamma Crucis (γ Crucis, abbreviated Gamma Cru, γ Cru), also named Gacrux, is the nearest class M giant star to the Sun. The distance to Gacrux has been determined using parallax measurements made during the Hipparcos mission, which yielded a value of 88.6 light-years (27.2 parsecs) away from the Sun. With an apparent visual magnitude of +1.63, this is the third-brightest star in the southern constellation of Crux, the Southern Cross, and one of the brightest stars in the night sky. A line from the two ""Pointers"", Alpha Centauri through Beta Centauri, leads to within a few degrees of this star.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Crux_constellation_map.svg/1000px-Crux_constellation_map.svg.png"
"Beta Corvi","Beta Corvi (β Corvi, abbreviated Beta Crv, β Crv), also named Kraz, is the second-brightest star in the southern constellation of Corvus with an apparent visual magnitude of 2.647. Based on parallax measurements obtained during the Hipparcos mission, it is about 146 light-years (45 parsecs) distant from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Corvus_constellation_map.svg/1000px-Corvus_constellation_map.svg.png"
"Gamma Virginis","Gamma Virginis (γ Virginis, abbreviated Gamma Vir, γ Vir), also named Porrima, is a binary star system in the constellation of Virgo.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Virgo_IAU.svg/1000px-Virgo_IAU.svg.png"
"Beta Crucis","Beta Crucis (β Crucis, abbreviated Beta Cru, β Cru), also named Mimosa, is a binary star system; the second-brightest star in the constellation of Crux (after Alpha Crucis or Acrux) and the 19th-brightest star in the night sky. It forms part of the prominent asterism called the Southern Cross.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Crux_constellation_map.svg/1000px-Crux_constellation_map.svg.png"
"Epsilon Ursae Majoris","Epsilon Ursae Majoris (ε Ursae Majoris, abbreviated Epsilon UMa, ε UMa), also named Alioth, is (despite being designated 'epsilon') the brightest star in the constellation of Ursa Major, and at magnitude 1.77 is the thirty-second-brightest star in the sky.
It is the star in the tail of the bear closest to its body, and thus the star in the handle of the Big Dipper (Plough) closest to the bowl. It is also a member of the large and diffuse Ursa Major moving group. Historically, the star was frequently used in celestial navigation in the maritime trade, because it is listed as one of the 57 navigational stars.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Ursa_Major_constellation_map.svg/1000px-Ursa_Major_constellation_map.svg.png"
"Cor Caroli","Cor Caroli is the traditional name for the binary star also designated Alpha Canum Venaticorum (α Canum Venaticorum, abbreviated Alpha CVn, α CVn), although the International Astronomical Union now regards the name as only applying to the brightest component. Alpha Canum Venaticorum is the brightest point of light in the northern constellation of Canes Venatici.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Canes_Venatici_IAU.svg/1000px-Canes_Venatici_IAU.svg.png"
"Epsilon Virginis","Epsilon Virginis (ε Virginis, abbreviated Epsilon Vir, ε Vir), also named Vindemiatrix, is a star in the zodiac constellation of Virgo. The apparent visual magnitude of this star is +2.8, making it the third-brightest member of Virgo. Based upon parallax measurements made during the Hipparcos mission, Vindemiatrix lies at a distance of about 109.6 light-years (33.6 parsecs) from the Sun, give or take a half light-year.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Virgo_IAU.svg/1000px-Virgo_IAU.svg.png"
"Zeta Ursae Majoris","Mizar is a 2nd magnitude star in the handle of the Big Dipper asterism in the constellation of Ursa Major.  It has the Bayer designation ζ Ursae Majoris (Latinised as Zeta Ursae Majoris).  It forms a well-known naked eye double star with the fainter star Alcor, and is itself a quadruple star system. The whole system lies about 83 light-years away from the Sun, as measured by the Hipparcos astrometry satellite, and is part of the Ursa Major Moving Group.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Ursa_Major_constellation_map.svg/1000px-Ursa_Major_constellation_map.svg.png"
"Spica","Spica, designated α Virginis (Latinised to Alpha Virginis, abbreviated Alpha Vir, α Vir), is the brightest object in the constellation of Virgo and one of the 20 brightest stars in the night sky. Analysis of its parallax shows that it is located 250 ± 10 light years from the Sun. It is a spectroscopic binary star and rotating ellipsoidal variable; a system whose two stars are so close together they are egg-shaped rather than spherical, and can only be separated by their spectra. The primary is a blue giant and a variable star of the Beta Cephei type.
Spica, along with Arcturus and Denebola or Regulus depending on the source, is part of the Spring Triangle asterism, and by extension, also of the Great Diamond together with the star Cor Caroli.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Virgo_constellation_map.svg/1000px-Virgo_constellation_map.svg.png"
"Alcor (star)","Alcor is the fainter companion of Mizar, the two stars forming a naked eye double in the handle of the Big Dipper (or Plough) asterism in the constellation of Ursa Major. The two both lie about 83 light-years away from the Sun, as measured by the Hipparcos astrometry satellite.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Ursa_Major_constellation_map.svg/1000px-Ursa_Major_constellation_map.svg.png"
"Eta Ursae Majoris","Eta Ursae Majoris (η Ursae Majoris, abbreviated Eta UMa, η UMa), also named Alkaid, is a star in the constellation of Ursa Major. It is the most eastern (leftmost) star in the Big Dipper (Plough) asterism. However, unlike most stars of the Big Dipper, it is not a member of the Ursa Major moving group. With an apparent visual magnitude of +1.84, it is the third-brightest star in the constellation and one of the brightest stars in the night sky.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Ursa_Major_constellation_map.svg/1000px-Ursa_Major_constellation_map.svg.png"
"Eta Boötis","Eta Boötis (η Boötis, abbreviated Eta Boo, η Boo) is a binary star in the constellation of Boötes. Based on parallax measurements obtained during the Hipparcos mission, it is approximately 37 light-years (11 parsecs) distant from the Sun. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified. It forms a double star with the star BD+19 2726.As a constituent of a double pair, Eta Boötis is also designated WDS J13547+1824A, with its two components being designated Aa (also named Muphrid) and Ab. (As part of a binary pair, they are also designated Eta Boötis A and B, respectively.) BD +19 2726 is also designated WDS J13547+1824B.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Bo%C3%B6tes_constellation_map.svg/777px-Bo%C3%B6tes_constellation_map.svg.png"
